profile_name,year,rep_period,timestep,value CY_30-97_40-13_50-98
availability-wind2030,2030,1,305,0.906
availability-wind2030,2030,1,306,0.892
availability-wind2030,2030,1,307,0.862
availability-wind2030,2030,1,308,0.828
availability-wind2030,2030,1,309,0.799
availability-wind2030,2030,1,310,0.783
availability-wind2030,2030,1,311,0.782
availability-wind2030,2030,1,312,0.754
availability-wind2030,2030,1,313,0.703
availability-wind2030,2030,1,314,0.663
availability-wind2030,2030,1,315,0.667
availability-wind2030,2030,1,316,0.703
availability-wind2030,2030,1,317,0.713
availability-wind2030,2030,1,318,0.698
availability-wind2030,2030,1,319,0.683
availability-wind2030,2030,1,320,0.694
availability-wind2030,2030,1,321,0.707
availability-wind2030,2030,1,322,0.744
availability-wind2030,2030,1,323,0.752
availability-wind2030,2030,1,324,0.801
availability-wind2030,2030,1,325,0.814
availability-wind2030,2030,1,326,0.809
availability-wind2030,2030,1,327,0.803
availability-wind2030,2030,1,328,0.803
availability-wind2030,2030,1,329,0.803
availability-wind2030,2030,1,330,0.804
availability-wind2030,2030,1,331,0.801
availability-wind2030,2030,1,332,0.793
availability-wind2030,2030,1,333,0.789
availability-wind2030,2030,1,334,0.785
availability-wind2030,2030,1,335,0.759
availability-wind2030,2030,1,336,0.760
availability-wind2030,2030,1,337,0.769
availability-wind2030,2030,1,338,0.779
availability-wind2030,2030,1,339,0.761
availability-wind2030,2030,1,340,0.727
availability-wind2030,2030,1,341,0.683
availability-wind2030,2030,1,342,0.637
availability-wind2030,2030,1,343,0.584
availability-wind2030,2030,1,344,0.533
availability-wind2030,2030,1,345,0.486
availability-wind2030,2030,1,346,0.421
availability-wind2030,2030,1,347,0.361
availability-wind2030,2030,1,348,0.295
availability-wind2030,2030,1,349,0.237
availability-wind2030,2030,1,350,0.198
availability-wind2030,2030,1,351,0.167
availability-wind2030,2030,1,352,0.135
availability-wind2030,2030,1,353,0.103
availability-wind2030,2030,1,354,0.086
availability-wind2030,2030,1,355,0.090
availability-wind2030,2030,1,356,0.115
availability-wind2030,2030,1,357,0.146
availability-wind2030,2030,1,358,0.168
availability-wind2030,2030,1,359,0.201
availability-wind2030,2030,1,360,0.220
availability-wind2030,2030,1,361,0.227
availability-wind2030,2030,1,362,0.228
availability-wind2030,2030,1,363,0.226
availability-wind2030,2030,1,364,0.204
availability-wind2030,2030,1,365,0.182
availability-wind2030,2030,1,366,0.171
availability-wind2030,2030,1,367,0.162
availability-wind2030,2030,1,368,0.163
availability-wind2030,2030,1,369,0.170
availability-wind2030,2030,1,370,0.198
availability-wind2030,2030,1,371,0.208
availability-wind2030,2030,1,372,0.219
availability-wind2030,2030,1,373,0.213
availability-wind2030,2030,1,374,0.215
availability-wind2030,2030,1,375,0.235
availability-wind2030,2030,1,376,0.267
availability-wind2030,2030,1,377,0.291
availability-wind2030,2030,1,378,0.324
availability-wind2030,2030,1,379,0.356
availability-wind2030,2030,1,380,0.385
availability-wind2030,2030,1,381,0.413
availability-wind2030,2030,1,382,0.437
availability-wind2030,2030,1,383,0.435
availability-wind2030,2030,1,384,0.452
availability-wind2030,2030,1,385,0.442
availability-wind2030,2030,1,386,0.436
availability-wind2030,2030,1,387,0.418
availability-wind2030,2030,1,388,0.424
availability-wind2030,2030,1,389,0.442
availability-wind2030,2030,1,390,0.457
availability-wind2030,2030,1,391,0.470
availability-wind2030,2030,1,392,0.520
availability-wind2030,2030,1,393,0.558
availability-wind2030,2030,1,394,0.569
availability-wind2030,2030,1,395,0.529
availability-wind2030,2030,1,396,0.522
availability-wind2030,2030,1,397,0.519
availability-wind2030,2030,1,398,0.499
availability-wind2030,2030,1,399,0.500
availability-wind2030,2030,1,400,0.508
availability-wind2030,2030,1,401,0.540
availability-wind2030,2030,1,402,0.569
availability-wind2030,2030,1,403,0.609
availability-wind2030,2030,1,404,0.638
availability-wind2030,2030,1,405,0.661
availability-wind2030,2030,1,406,0.689
availability-wind2030,2030,1,407,0.718
availability-wind2030,2030,1,408,0.765
availability-wind2030,2030,1,409,0.814
availability-wind2030,2030,1,410,0.827
availability-wind2030,2030,1,411,0.844
availability-wind2030,2030,1,412,0.840
availability-wind2030,2030,1,413,0.832
availability-wind2030,2030,1,414,0.813
availability-wind2030,2030,1,415,0.797
availability-wind2030,2030,1,416,0.793
availability-wind2030,2030,1,417,0.777
availability-wind2030,2030,1,418,0.741
availability-wind2030,2030,1,419,0.697
availability-wind2030,2030,1,420,0.692
availability-wind2030,2030,1,421,0.685
availability-wind2030,2030,1,422,0.600
availability-wind2030,2030,1,423,0.513
availability-wind2030,2030,1,424,0.492
availability-wind2030,2030,1,425,0.511
availability-wind2030,2030,1,426,0.451
availability-wind2030,2030,1,427,0.393
availability-wind2030,2030,1,428,0.432
availability-wind2030,2030,1,429,0.471
availability-wind2030,2030,1,430,0.466
availability-wind2030,2030,1,431,0.479
availability-wind2030,2030,1,432,0.514
availability-wind2030,2030,1,433,0.556
availability-wind2030,2030,1,434,0.567
availability-wind2030,2030,1,435,0.571
availability-wind2030,2030,1,436,0.582
availability-wind2030,2030,1,437,0.594
availability-wind2030,2030,1,438,0.584
availability-wind2030,2030,1,439,0.566
availability-wind2030,2030,1,440,0.541
availability-wind2030,2030,1,441,0.522
availability-wind2030,2030,1,442,0.512
availability-wind2030,2030,1,443,0.488
availability-wind2030,2030,1,444,0.440
availability-wind2030,2030,1,445,0.369
availability-wind2030,2030,1,446,0.290
availability-wind2030,2030,1,447,0.255
availability-wind2030,2030,1,448,0.228
availability-wind2030,2030,1,449,0.193
availability-wind2030,2030,1,450,0.170
availability-wind2030,2030,1,451,0.149
availability-wind2030,2030,1,452,0.142
availability-wind2030,2030,1,453,0.142
availability-wind2030,2030,1,454,0.147
availability-wind2030,2030,1,455,0.171
availability-wind2030,2030,1,456,0.206
availability-wind2030,2030,1,457,0.232
availability-wind2030,2030,1,458,0.261
availability-wind2030,2030,1,459,0.291
